UPC,Name,Link,Current Price,Regular Price,Sale Price
195365337295,Boys 4-20 ZeroXposur Surfer Swim Shorts,https://www.kohls.com/product/prd-5696195/boys-4-20-zeroxposur-surfer-swim-shorts.jsp?color=Trench Blue&prdPV=1,16.00,32.00,16.00
400373147409,"Boys 8-20 Sonoma Goods For Life® Flexwear Tech Cargo Shorts in Regular, Slim & Husky",https://www.kohls.com/product/prd-5853261/boys-8-20-sonoma-goods-for-life-flexwear-tech-cargo-shorts-in-regular-slim-husky.jsp?color=Dark Gray&prdPV=2,16.99,34.00,16.99
400441802940,Girls 4-12 Jumping Beans® Skater Dress,https://www.kohls.com/product/prd-5941260/girls-4-12-jumping-beans-skater-dress.jsp?color=Ivory Marble&prdPV=4,8.99,20.00,8.99
400834020944,Girls 6-20 SO® Midrise Denim Shortie Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5841668/girls-6-20-so-midrise-denim-shortie-shorts-in-regular-plus-size.jsp?color=Dark Wash&prdPV=5,17.99,30.00,17.99
400660407353,Kids 4-12 Jumping Beans® Essential Shorts,https://www.kohls.com/product/prd-5804936/kids-4-12-jumping-beans-essential-shorts.jsp?color=Sky Blue&prdPV=6,5.99,10.00,5.99
400275050128,Boys 8-20 Tek Gear® Mesh Basketball Shorts in Regular & Husky,https://www.kohls.com/product/prd-5214987/boys-8-20-tek-gear-mesh-basketball-shorts-in-regular-husky.jsp?color=Vinson Bay&prdPV=7,12.99,20.00,12.99
617845200139,Boys Nike 6-Pack Dri-FIT Performance Crew Socks,https://www.kohls.com/product/prd-893443/nike-6-pk-performance-crew-socks-boys-7-11.jsp?color=Black White&prdPV=8,16.00,20.00,16.00
400559210316,Girls 4-20 SO® Tee & Shorts Pajama Set,https://www.kohls.com/product/prd-6093127/girls-4-20-so-tee-shorts-pajama-set.jsp?color=Sunshine&prdPV=10,18.00,30.00,18.00
400282180825,Boys 8-20 Tek Gear® Dry Tek Tee in Regular & Husky,https://www.kohls.com/product/prd-6487814/boys-4-20-tek-gear-drytek-tee.jsp?color=Mineral Black&prdPV=11,9.99,15.00,9.99
400767609292,Boys 4-12 Jumping Beans® Piped Active Shorts,https://www.kohls.com/product/prd-5838828/boys-4-12-jumping-beans-piped-active-shorts.jsp?color=Novelty Navy&prdPV=12,8.99,14.00,8.99
194931444405,"Boys 4-12 Van Heusen Shirt, Vest & Pants Set",https://www.kohls.com/product/prd-5663892/boys-4-12-van-heusen-shirt-vest-pants-set.jsp?color=Black&prdPV=13,46.50,62.00,46.50
400546473816,Girls 6-20 SO® Graphic Tee in Regular & Plus Size,https://www.kohls.com/product/prd-5817878/girls-6-20-so-graphic-tee-in-regular-plus-size.jsp?color=Hawaii Surf&prdPV=15,7.99,14.00,7.99
400790717827,Boys 8-20 Sonoma Goods For Life® Flexwear Pull-On Cargo Shorts in Regular & Husky,https://www.kohls.com/product/prd-5854934/boys-8-20-sonoma-goods-for-life-flexwear-pull-on-cargo-shorts-in-regular-husky.jsp?color=Khaki&prdPV=16,16.99,34.00,16.99
194931333976,Boys 4-20 IZOD Performance Polo in Regular & Husky,https://www.kohls.com/product/prd-5516445/boys-4-20-izod-performance-polo-in-regular-husky.jsp?color=Hunter&prdPV=17,16.50,22.00,16.50
194931273999,"Boys 4-20 IZOD Flat Front Comfort Waistband Pants in Regular, Slim & Husky",https://www.kohls.com/product/prd-5190656/boys-4-20-izod-flat-front-comfort-waistband-pants-in-regular-slim-husky.jsp?color=Navy&prdPV=20,28.50,38.00,28.50
400547920432,Boys 8-20 Sonoma Goods For Life Everyday Graphic Tee,https://www.kohls.com/product/prd-5850688/boys-8-20-sonoma-goods-for-life-everyday-graphic-tee.jsp?color=Palm Tree Ivory&prdPV=21,7.99,14.00,7.99
400585447076,Girls 6-20 SO® Ribbed Waist Jegging Bermurda Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5840847/girls-6-20-so-ribbed-waist-jegging-bermurda-shorts-in-regular-plus-size.jsp?color=Medium Wash&prdPV=22,17.99,30.00,17.99
400658314403,Boys 4-12 Jumping Beans® Flat Front Poplin Cargo Shorts,https://www.kohls.com/product/prd-5811015/boys-4-12-jumping-beans-flat-front-poplin-cargo-shorts.jsp?color=Must Do Blue&prdPV=23,10.99,18.00,10.99
400297364814,Girls 6-20 SO® French Terry Bermuda Shorts in Regular & Plus,https://www.kohls.com/product/prd-5280832/girls-6-20-so-french-terry-bermuda-shorts-in-regular-plus.jsp?color=Pink Dip Dye&prdPV=24,9.99,14.99,9.99
045299125898,Boys Tek Gear 5-Pack Athletic Boxer Briefs,https://www.kohls.com/product/prd-5580284/boys-tek-gear-5-pack-athletic-boxer-briefs.jsp?color=Orange Camo&prdPV=26,20.00,25.00,20.00
400283853667,"Boys 4-12 Jumping Beans® Pull-On Denim Pants in Regular, Slim & Husky",https://www.kohls.com/product/prd-5684629/boys-4-12-jumping-beans-pull-on-denim-pants-in-regular-slim-husky.jsp?color=Dark Wash&prdPV=28,12.99 - 13.99,20.00,12.99 - 13.99
400792962447,Boys 8-20 Tek Gear® Dry Tek Shorts in Regular & Husky,https://www.kohls.com/product/prd-6488463/boys-8-20-tek-gear-new-dry-tek-shorts-in-regular-husky.jsp?color=Smoky Denim&prdPV=29,9.99,15.00,9.99
400710429397,Boys 8-20 Sonoma Goods For Life® Everyday Solid Tee,https://www.kohls.com/product/prd-5893905/boys-8-20-sonoma-goods-for-life-everyday-solid-tee.jsp?color=Aloha Orange&prdPV=30,7.99,14.00,7.99
400736644576,Baby & Toddler Little Co. by Lauren Conrad Organic Gauze Top & Shorts,https://www.kohls.com/product/prd-5950624/baby-toddler-little-co-by-lauren-conrad-organic-gauze-top-shorts.jsp?color=Ginger&prdPV=31,22.80,38.00 Orig,22.80
000716859237,Boys 4-12 Super Mario Bros. 3 Piece Pajama Set,https://www.kohls.com/product/prd-5973519/boys-4-12-super-mario-bros-3-piece-pajama-set.jsp?prdPV=34,19.00,38.00,19.00
400712460749,Toddler Jumping Beans® Essential Shorts,https://www.kohls.com/product/prd-5803945/toddler-jumping-beans-essential-shorts.jsp?color=Charcoal&prdPV=35,4.99,8.00,4.99
825663570161,Boys 4-20 Levi's® 502 Taper-Fit Jeans in Regular & Husky,https://www.kohls.com/product/prd-3276839/boys-8-20-levis-502-skinny-jeans.jsp?color=Yosemite Falls&prdPV=36,24.99,42.00,24.99
617845872282,"Boys 4-7 Nike ""Just Do It."" Graphic Tee & Mesh Shorts Set",https://www.kohls.com/product/prd-5559158/boys-4-7-nike-just-do-it-graphic-tee-mesh-shorts-set.jsp?color=Black&prdPV=37,24.00,40.00,24.00
196019136264,Girls 4-18 SO® Ruffled Tankini Top & Bottoms Swimsuit Set in Regular & Plus Size,https://www.kohls.com/product/prd-5941351/girls-4-18-so-ruffled-tankini-top-bottoms-swimsuit-set-in-regular-plus-size.jsp?color=Candy Sherbet&prdPV=38,16.00,32.00,16.00
400744029419,Boys 8-20 Sonoma Goods For Life® Everyday Cargo Shorts,https://www.kohls.com/product/prd-5861520/boys-8-20-sonoma-goods-for-life-everyday-cargo-shorts.jsp?color=Khaki&prdPV=39,12.99,26.00,12.99
400720284047,Girls 7-20 SO® Core Bike Shorts in Regular & Plus,https://www.kohls.com/product/prd-5273782/girls-7-20-so-core-bike-shorts-in-regular-plus.jsp?color=Gray Heather&prdPV=40,6.99,7.99,6.99
400309334521,Girls 6-20 SO® Cinched Romper in Regular & Plus Size,https://www.kohls.com/product/prd-5945088/girls-6-20-so-cinched-romper-in-regular-plus-size.jsp?color=Yellow Butterfly&prdPV=43,16.99,25.00,16.99
400334389596,Girls 6-20 SO® Core Layering Tank Top in Regular & Plus,https://www.kohls.com/product/prd-5315629/girls-6-20-so-core-layering-tank-top-in-regular-plus.jsp?color=White&prdPV=44,1.59 - 6.99,7.99,1.59 - 6.99
195365337530,Boys 4-20 ZeroXposur Sun Protection Top,https://www.kohls.com/product/prd-5696196/boys-4-20-zeroxposur-sun-protection-top.jsp?color=Ocean&prdPV=45,14.00,28.00,14.00
400712413820,Toddler Boy Jumping Beans® Woven Tech Shorts,https://www.kohls.com/product/prd-5837548/toddler-boy-jumping-beans-woven-tech-shorts.jsp?color=Blue&prdPV=46,10.99,18.00,10.99
194931336625,Girls 4-16 IZOD Performance Polo in Regular & Plus Size,https://www.kohls.com/product/prd-5523604/girls-4-16-izod-performance-polo-in-regular-plus-size.jsp?color=Navy&prdPV=47,16.50,22.00,16.50
825663451804,Boys 8-20 Nike Dri-FIT Boxers 3-Pack,https://www.kohls.com/product/prd-5635415/boys-8-20-nike-dri-fit-boxers-3-pack.jsp?color=Grey Black&prdPV=48,22.40,28.00,22.40
400288402075,Girls 6-20 SO® Denim Midi Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5842142/girls-6-20-so-denim-midi-shorts-in-regular-plus-size.jsp?color=Dark Wash&prdPV=49,17.99,30.00,17.99
400556080332,Baby & Toddler Little Co. by Lauren Conrad Organic Graphic Tee,https://www.kohls.com/product/prd-5939410/baby-toddler-little-co-by-lauren-conrad-organic-graphic-tee.jsp?color=Navy Follow Wave&prdPV=50,10.80,18.00 Orig,10.80
400469131787,Toddler Girl Jumping Beans® French Terry Zip-Up Sweatshirt,https://www.kohls.com/product/prd-5590157/toddler-girl-jumping-beans-french-terry-zip-up-sweatshirt.jsp?color=Hot Pink&prdPV=51,8.99,18.00,8.99
400579712524,Toddler Boy Jumping Beans® Essential Knit Jersey Short 3-Pack Set,https://www.kohls.com/product/prd-5257619/toddler-boy-jumping-beans-essential-knit-jersey-short-3-pack-set.jsp?prdPV=52,6.00,24.00,6.00
400304267633,Boys 4-12 Jumping Beans® Woven Tech Shorts,https://www.kohls.com/product/prd-5833749/boys-4-12-jumping-beans-woven-tech-shorts.jsp?color=Olive&prdPV=53,13.99,22.00,13.99
089129731637,Girls SO® 2-Pack Racerback Sports Bras,https://www.kohls.com/product/prd-5192263/girls-so-2-pack-racerback-sports-bras.jsp?color=Gray Clearwater&prdPV=54,14.40,18.00,14.40
400767699880,Girls 6-20 SO® Midrise Cuffed Bermuda Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5918419/girls-6-20-so-midrise-cuffed-bermuda-shorts-in-regular-plus-size.jsp?color=Medium Floral&prdPV=56,17.99,30.00,17.99
400286919070,Girls 4-12 Jumping Beans® Midi Jegging Shorts,https://www.kohls.com/product/prd-5855532/girls-4-12-jumping-beans-midi-jegging-shorts.jsp?color=Dark Wash Denim&prdPV=57,9.99,16.00,9.99
196019118406,Toddler Boy Jumping Beans® Rash Guard Top & Swim Trunks Set,https://www.kohls.com/product/prd-5874996/toddler-boy-jumping-beans-rash-guard-top-swim-trunks-set.jsp?color=Surf Dino Lime&prdPV=58,15.99,32.00,15.99
195365425923,Girls 7-16 ZeroXposur Tie Dyed Keyhole Tankini with Bikini & Shorts in Regular & Plus,https://www.kohls.com/product/prd-5868836/girls-7-16-zeroxposur-tie-dyed-keyhole-tankini-with-bikini-shorts-in-regular-plus.jsp?prdPV=59,24.00 - 26.00,48.00 - 52.00,24.00 - 26.00
400503083171,Girls 4-12 Jumping Beans® Dolphin Shorts,https://www.kohls.com/product/prd-5825289/girls-4-12-jumping-beans-dolphin-shorts.jsp?color=Light Blue Denim&prdPV=60,9.99,16.00,9.99
400719526103,Baby & Toddler Little Co. by Lauren Conrad Organic French Terry Roll-Cuff Shorts,https://www.kohls.com/product/prd-5815995/baby-toddler-little-co-by-lauren-conrad-organic-french-terry-roll-cuff-shorts.jsp?color=Gray&prdPV=61,10.80,18.00 Orig,10.80
400731454217,Girls 4-12 Jumping Beans® Flutter Sleeve Tee,https://www.kohls.com/product/prd-5848421/girls-4-12-jumping-beans-flutter-sleeve-tee.jsp?color=Ivory&prdPV=62,6.99,12.00,6.99
400288180010,Toddler Boy Jumping Beans® Active Vented Tech Shorts,https://www.kohls.com/product/prd-5829808/toddler-boy-jumping-beans-active-vented-tech-shorts.jsp?color=Black Red&prdPV=63,8.99,16.00,8.99
195365398104,Boys 4-20 ZeroXposur Graphic UPF Sun Top,https://www.kohls.com/product/prd-5813888/boys-4-20-zeroxposur-graphic-upf-sun-top.jsp?color=White&prdPV=64,14.00,28.00,14.00
400300653041,Boys 4-12 Jumping Beans® Flat Front Poplin Shorts,https://www.kohls.com/product/prd-5811007/boys-4-12-jumping-beans-flat-front-poplin-shorts.jsp?color=Canyon Sand&prdPV=65,10.99,18.00,10.99
196601410406,Boys 4-7 Under Armour Tee & Shorts Set,https://www.kohls.com/product/prd-5811311/boys-4-7-under-armour-tee-shorts-set.jsp?color=Glacier Blue&prdPV=66,25.20,42.00,25.20
196258451234,Girls 7-16 Maidenform® 2-pk. Seamless Ruched Cropped Bras,https://www.kohls.com/product/prd-2965144/girls-7-16-maidenform-2-pk-seamless-ruched-cropped-bras.jsp?color=Heather Gray White&prdPV=67,16.00,20.00,16.00
194955983133,Boys 8-20 Nike Tracksuit,https://www.kohls.com/product/prd-5582894/boys-8-20-nike-tracksuit.jsp?color=Black White&prdPV=68,37.50,50.00,37.50
400819173283,Toddler Girl Jumping Beans® 2 Pack Dress Shorties,https://www.kohls.com/product/prd-5805197/toddler-girl-jumping-beans-2-pack-dress-shorties.jsp?color=Black Pink&prdPV=69,7.99,16.00,7.99
400495889201,Boys 8-20 Sonoma Goods For Life® Button-Up Top in Regular & Husky,https://www.kohls.com/product/prd-5851392/boys-8-20-sonoma-goods-for-life-button-up-top-in-regular-husky.jsp?color=Blue Shark&prdPV=70,18.99,24.00,18.99
400374598705,Girls 4-12 Jumping Beans® Patterned Tiered Skort,https://www.kohls.com/product/prd-5855940/girls-4-12-jumping-beans-patterned-tiered-skort.jsp?color=Blue Unicorn&prdPV=72,6.99,12.00,6.99
400592105945,Boys 4-12 Jumping Beans® Pull On Denim Shorts,https://www.kohls.com/product/prd-5811013/boys-4-12-jumping-beans-pull-on-denim-shorts.jsp?color=Med Wash&prdPV=73,10.99,18.00,10.99
194931339138,Girls 4-16 IZOD Performance Scooter Skort in Regular & Plus Size,https://www.kohls.com/product/prd-5526866/girls-4-16-izod-performance-scooter-skort-in-regular-plus-size.jsp?color=Navy&prdPV=74,19.50,26.00,19.50
